Feb. 13 ,02/13/17,  73° / 55° ,  0.08 in ,  68% / 33% ,  30.02 / 29.86 ,  SSE 19 MPH ,  50° / 38°
Feb. 14 ,02/14/17,  73° / 52° ,  0.00 in ,  80% / 24% ,  30.07 / 29.96 ,  NE 14 MPH  ,  49° / 33°
Feb. 15 ,02/15/17,  75° / 53° ,  0.00 in ,  49% / 18% ,  30.15 / 30.01 ,  NE 19 MPH  ,  41° / 27°
Feb. 16 ,02/16/17,  74° / 45° ,  0.00 in ,  58% / 20% ,  30.07 / 29.88 ,  S 11 MPH   ,  36° / 28°
Feb. 17 ,02/17/17,  75° / 53° ,  0.00 in ,  47% / 18% ,  29.93 / 29.71 ,  SSW 21 MPH ,  38° / 27°
Feb. 18 ,02/18/17,  63° / 50° ,  0.55 in ,  94% / 39% ,  29.80 / 29.53 ,  S 18 MPH   ,  52° / 37°
Feb. 19 ,02/19/17,  58° / 48° ,  0.58 in ,  97% / 78% ,  30.12 / 29.78 ,  SE 11 MPH  ,  55° / 45°
Feb. 20 ,02/20/17,  68° / 45° ,  0.00 in ,  98% / 47% ,  30.29 / 30.11 ,  ---------- ,  56° / 42°
Feb. 21 ,02/21/17,  74° / 45° ,  0.00 in ,  95% / 40% ,  30.32 / 30.11 ,  NW 11 MPH  ,  54° / 42°
Feb. 22 ,02/22/17,  76° / 50° ,  0.00 in ,  92% / 24% ,  30.12 / 29.77 ,  SSE 11 MPH ,  57° / 36°
Feb. 23 ,02/23/17,  62° / 40° ,  0.00 in ,  61% / 18% ,  29.99 / 29.78 ,  W 18 MPH   ,  39° / 17°
Feb. 24 ,02/24/17,  61° / 35° ,  0.00 in ,  73% / 17% ,  30.14 / 29.98 ,  NW 13 MPH  ,  31° / 14°
Feb. 25 ,02/25/17,  66° / 32° ,  0.00 in ,  83% / 17% ,  30.12 / 29.92 ,  W 10 MPH   ,  35° / 18°
Feb. 26 ,02/26/17,  68° / 46° ,  0.00 in ,  58% / 19% ,  29.94 / 29.85 ,  SSW 20 MPH ,  36° / 23°
Feb. 27 ,02/27/17,  66° / 44° ,  0.14 in ,  89% / 34% ,  30.00 / 29.83 ,  SW 17 MPH  ,  50° / 32°
Feb. 28 ,02/28/17,  62° / 44° ,  0.26 in ,  93% / 42% ,  30.16 / 29.80 ,  NW 22 MPH  ,  52° / 38°
Mar. 1  ,03/01/17,  69° / 40° ,  0.00 in ,  88% / 26% ,  30.27 / 30.15 ,  NE 16 MPH  ,  43° / 24°
Mar. 2  ,03/02/17,  77° / 53° ,  0.00 in ,  30% / 18% ,  30.23 / 30.08 ,  NE 27 MPH  ,  34° / 19°
Mar. 3  ,03/03/17,  78° / 53° ,  0.00 in ,  51% / 20% ,  30.11 / 29.95 ,  NE 21 MPH  ,  40° / 24°
Mar. 4  ,03/04/17,  80° / 46° ,  0.00 in ,  65% / 17% ,  30.08 / 29.95 ,  S 16 MPH   ,  42° / 29°
Mar. 5  ,03/05/17,  74° / 52° ,  0.00 in ,  53% / 19% ,  29.98 / 29.83 ,  S 16 MPH   ,  42° / 19°
Mar. 6  ,03/06/17,  67° / 41° ,  0.00 in ,  74% / 16% ,  30.14 / 29.93 ,  W 15 MPH   ,  40° / 19°
Mar. 7  ,03/07/17,  75° / 37° ,  0.00 in ,  73% / 16% ,  30.21 / 30.08 ,  WSW 12 MPH ,  34° / 24°
Mar. 8  ,03/08/17,  84° / 43° ,  0.00 in ,  69% / 16% ,  30.13 / 29.99 ,  NW 11 MPH  ,  38° / 29°
Mar. 9  ,03/09/17,  86° / 45° ,  0.00 in ,  73% / 13% ,  30.12 / 30.01 ,  SSE 10 MPH ,  43° / 28°
Mar. 10 ,03/10/17,  88° / 46° ,  0.00 in ,  70% / 13% ,  30.11 / 29.93 ,  WSW 10 MPH ,  43° / 31°
Mar. 11 ,03/11/17,  87° / 51° ,  0.00 in ,  62% / 14% ,  30.02 / 29.91 ,  NW 12 MPH  ,  43° / 30°
Mar. 12 ,03/12/17,  87° / 52° ,  0.00 in ,  62% / 16% ,  30.04 / 29.92 ,  W 12 MPH   ,  44° / 33°
Mar. 13 ,03/13/17,  92° / 54° ,  0.00 in ,  60% / 12% ,  30.07 / 29.95 ,  W 10 MPH   ,  45° / 29°
Mar. 14 ,03/14/17,  93° / 56° ,  0.00 in ,  47% / 13% ,  30.12 / 30.00 ,  W 10 MPH   ,  42° / 32°
Mar. 15 ,03/15/17,  90° / 53° ,  0.00 in ,  58% / 12% ,  30.13 / 30.03 ,  WSW 13 MPH ,  44° / 28°
Mar. 16 ,03/16/17,  93° / 53° ,  0.00 in ,  51% / 12% ,  30.12 / 29.98 ,  W 18 MPH   ,  41° / 32°
Mar. 17 ,03/17/17,  93° / 55° ,  0.00 in ,  52% / 12% ,  30.10 / 29.98 ,  WSW 11 MPH ,  42° / 30°
Mar. 18 ,03/18/17,  95° / 57° ,  0.00 in ,  48% / 11% ,  30.13 / 29.99 ,  S 12 MPH   ,  43° / 30°
Mar. 19 ,03/19/17,  95° / 56° ,  0.00 in ,  48% / 11% ,  30.13 / 29.99 ,  W 11 MPH   ,  43° / 30°
Mar. 20 ,03/20/17,  96° / 57° ,  0.00 in ,  47% / 11% ,  30.05 / 29.90 ,  W 15 MPH   ,  42° / 31°
Mar. 21 ,03/21/17,  93° / 60° ,  0.00 in ,  45% / 12% ,  30.03 / 29.88 ,  SW 16 MPH  ,  43° / 29°
Mar. 22 ,03/22/17,  83° / 56° ,  0.00 in ,  50% / 21% ,  29.98 / 29.80 ,  W 21 MPH   ,  46° / 36°
Mar. 23 ,03/23/17,  67° / 50° ,  0.12 in ,  83% / 29% ,  30.10 / 29.88 ,  NNW 21 MPH ,  49° / 31°
Mar. 24 ,03/24/17,  77° / 46° ,  0.00 in ,  66% / 19% ,  30.23 / 30.08 ,  SE 13 MPH  ,  40° / 29°
Mar. 25 ,03/25/17,  80° / 46° ,  0.00 in ,  73% / 15% ,  30.09 / 29.85 ,  WSW 17 MPH ,  43° / 23°
Mar. 26 ,03/26/17,  81° / 47° ,  0.00 in ,  61% / 15% ,  29.98 / 29.87 ,  W 13 MPH   ,  38° / 26°
Mar. 27 ,03/27/17,  82° / 51° ,  0.00 in ,  52% / 17% ,  29.91 / 29.72 ,  NNE 23 MPH ,  38° / 29°
Mar. 28 ,03/28/17,  75° / 47° ,  0.05 in ,  80% / 22% ,  29.90 / 29.78 ,  NNE 17 MPH ,  44° / 26°
